Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,Head_Yaw_dof,Head_Pitch_dof,Left_Shoulder_Pitch_dof,Left_Shoulder_Roll_dof,Left_Elbow_Pitch_dof,Left_Elbow_Yaw_dof,Right_Shoulder_Pitch_dof,Right_Shoulder_Roll_dof,Right_Elbow_Pitch_dof,Right_Elbow_Yaw_dof,Left_Hip_Pitch_dof,Left_Hip_Roll_dof,Left_Hip_Yaw_dof,Left_Knee_Pitch_dof,Left_Ankle_Pitch_dof,Left_Ankle_Roll_dof,Right_Hip_Pitch_dof,Right_Hip_Roll_dof,Right_Hip_Yaw_dof,Right_Knee_Pitch_dof,Right_Ankle_Pitch_dof,Right_Ankle_Roll_dof
0,-60.55715560913086,-58.36509323120117,55.052116316105824,-0.28542654323248035,4.48447162163021,-144.88897884121286,0.0,0.0,44.906715,-61.74193,-30.651411,-62.43743,-5.4419885,53.449333,0.9407922,29.75445,-7.233817,0.3889894,-0.20287411,8.9084835,-6.1045294,-0.11370994,-7.1507435,0.18905056,-0.19114503,8.862573,-6.1409907,0.08682178
1,-60.55715560913086,-58.36509323120117,55.052116316105824,-0.28542654323248035,4.48447162163021,-144.88897884121286,0.0,0.0,44.906715,-61.74193,-30.651411,-62.43743,-5.4419885,53.449333,0.9407922,29.75445,-7.233817,0.3889894,-0.20287411,8.9084835,-6.1045294,-0.11370994,-7.1507435,0.18905056,-0.19114503,8.862573,-6.1409907,0.08682178
2,-60.55715560913086,-58.36509323120117,55.052116316105824,-0.28542654323248035,4.48447162163021,-144.88897884121286,0.0,0.0,44.906715,-61.74193,-30.651411,-62.43743,-5.4419885,53.449333,0.9407922,29.75445,-7.233817,0.3889894,-0.20287411,8.9084835,-6.1045294,-0.11370994,-7.1507435,0.18905056,-0.19114503,8.862573,-6.1409907,0.08682178
3,-60.55715560913086,-58.36509323120117,55.052116316105824,-0.28542654323248035,4.48447162163021,-144.88897884121286,0.0,0.0,44.906715,-61.74193,-30.651411,-62.43743,-5.4419885,53.449333,0.9407922,29.75445,-7.233817,0.3889894,-0.20287411,8.9084835,-6.1045294,-0.11370994,-7.1507435,0.18905056,-0.19114503,8.862573,-6.1409907,0.08682178
4,-60.55715560913086,-58.36509323120117,55.052116316105824,-0.28542654323248035,4.48447162163021,-144.88897884121286,0.0,0.0,44.906715,-61.74193,-30.651411,-62.43743,-5.4419885,53.449333,0.9407922,29.75445,-7.233817,0.3889894,-0.20287411,8.9084835,-6.1045294,-0.11370994,-7.1507435,0.18905056,-0.19114503,8.862573,-6.1409907,0.08682178
5,-60.55715560913086,-58.36509323120117,55.052116316105824,-0.28542654323248035,4.48447162163021,-144.88897884121286,0.0,0.0,44.906715,-61.74193,-30.651411,-62.43743,-5.4419885,53.449333,0.9407922,29.75445,-7.233817,0.3889894,-0.20287411,8.9084835,-6.1045294,-0.11370994,-7.1507435,0.18905056,-0.19114503,8.862573,-6.1409907,0.08682178
6,-60.55715560913086,-58.36509323120117,55.052116316105824,-0.28542654323248035,4.48447162163021,-144.88897884121286,0.0,0.0,44.906715,-61.74193,-30.651411,-62.43743,-5.4419885,53.449333,0.9407922,29.75445,-7.233817,0.3889894,-0.20287411,8.9084835,-6.1045294,-0.11370994,-7.1507435,0.18905056,-0.19114503,8.862573,-6.1409907,0.08682178
7,-60.55715560913086,-58.36509323120117,55.052116316105824,-0.28542654323248035,4.48447162163021,-144.88897884121286,0.0,0.0,44.906715,-61.74193,-30.651411,-62.43743,-5.4419885,53.449333,0.9407922,29.75445,-7.233817,0.3889894,-0.20287411,8.9084835,-6.1045294,-0.11370994,-7.1507435,0.18905056,-0.19114503,8.862573,-6.1409907,0.08682178
8,-60.55715560913086,-58.36509323120117,55.052116316105824,-0.28542654323248035,4.48447162163021,-144.88897884121286,0.0,0.0,44.906715,-61.74193,-30.651411,-62.43743,-5.4419885,53.449333,0.9407922,29.75445,-7.233817,0.3889894,-0.20287411,8.9084835,-6.1045294,-0.11370994,-7.1507435,0.18905056,-0.19114503,8.862573,-6.1409907,0.08682178
9,-60.55715560913086,-58.36509323120117,55.05211541234113,-0.28542654323248035,4.48447162163021,-144.88897884121286,0.0,0.0,44.906715,-61.74193,-30.651411,-62.43743,-5.4419885,53.449333,0.9407922,29.75445,-7.233817,0.3889894,-0.20287411,8.9084835,-6.1045294,-0.11370994,-7.1507435,0.18905056,-0.19114503,8.862573,-6.1409907,0.08682178
