Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,Head_Yaw_dof,Head_Pitch_dof,Left_Shoulder_Pitch_dof,Left_Shoulder_Roll_dof,Left_Elbow_Pitch_dof,Left_Elbow_Yaw_dof,Right_Shoulder_Pitch_dof,Right_Shoulder_Roll_dof,Right_Elbow_Pitch_dof,Right_Elbow_Yaw_dof,Left_Hip_Pitch_dof,Left_Hip_Roll_dof,Left_Hip_Yaw_dof,Left_Knee_Pitch_dof,Left_Ankle_Pitch_dof,Left_Ankle_Roll_dof,Right_Hip_Pitch_dof,Right_Hip_Roll_dof,Right_Hip_Yaw_dof,Right_Knee_Pitch_dof,Right_Ankle_Pitch_dof,Right_Ankle_Roll_dof
0,60.60108947753906,-58.30179977416992,55.05208459156473,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
1,60.60108947753906,-58.30179977416992,55.05208459156473,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
2,60.60108947753906,-58.30179977416992,55.05208459156473,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
3,60.60108947753906,-58.30179977416992,55.05208459156473,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
4,60.60108947753906,-58.30179977416992,55.05208459156473,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
5,60.60108947753906,-58.30179977416992,55.05208459156473,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
6,60.60108947753906,-58.30179977416992,55.05208459156473,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
7,60.60108947753906,-58.30179977416992,55.05208459156473,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
8,60.60108947753906,-58.30179977416992,55.05208459156473,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
9,60.60108947753906,-58.30179977416992,55.05208878814879,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
10,60.60108947753906,-58.30179977416992,55.05214899529242,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
11,60.60108947753906,-58.30179977416992,55.05265986142994,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
12,60.60108947753906,-58.30179977416992,55.0555792724664,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
13,60.60108947753906,-58.30179977416992,55.06722291882569,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
14,60.60108947753906,-58.30179977416992,55.10075839214575,-0.28512713602419204,4.483660794603811,-34.78829943426023,0.0,0.0,43.41679,-63.399582,-28.042107,-62.023907,-5.531298,50.614006,1.0473434,29.758507,-7.233857,0.3860992,-0.20416531,8.908909,-6.1041155,-0.11119251,-7.149925,0.18619353,-0.19242841,8.862705,-6.141133,0.08931465
15,60.60333251953125,-58.30349349975586,55.19943614367364,-0.2941646430893402,4.602935548919702,-34.85818759910662,0.0,0.0,43.06051,-63.09663,-27.830912,-61.96772,-5.553139,50.65195,1.2707347,30.04484,-7.174979,0.41085792,-0.08448399,8.921495,-5.925874,-0.20252338,-7.3520136,0.19776012,-0.17373204,8.8749275,-6.00041,0.119698726
16,60.609161376953125,-58.307289123535156,55.402632992230835,-0.31304460800620076,4.9982216099644186,-35.0696040008894,0.0,0.0,41.99,-62.229317,-27.184622,-61.91904,-6.2620425,50.77773,2.2949107,30.306856,-7.046753,0.47049174,0.27541128,8.95527,-5.3856225,-0.47039494,-8.003418,0.22319086,-0.113016374,8.910939,-5.571156,0.21040602
17,60.61320495605469,-58.3055419921875,55.71225084346779,-0.2949024942351811,5.985759437614359,-35.4678923175017,0.0,0.0,39.52413,-60.420834,-25.650276,-61.828278,-8.291093,51.049984,4.544633,30.759762,-7.220132,0.49230847,0.9199708,8.979576,-4.426502,-0.8883641,-9.484994,0.20818786,0.047589544,8.955891,-4.7777786,0.36757517
18,60.62202453613281,-58.30756378173828,56.104833560995516,-0.3129260673072941,7.182680232417645,-35.98514286616215,0.0,0.0,36.37323,-58.316513,-23.617998,-61.7502,-10.877278,51.522877,7.4465485,31.140104,-7.2927685,0.550714,1.7591597,9.03581,-3.1566634,-1.4622626,-11.319652,0.2511945,0.23805092,9.02556,-3.7368822,0.55573076
19,60.63359832763672,-58.31039047241211,56.55354567106464,-0.35949885168478163,8.659730698348548,-36.63018433872603,0.0,0.0,32.257656,-55.904102,-20.828932,-61.688114,-14.181438,52.315277,11.070873,31.467321,-7.375927,0.61227065,2.7875307,9.109273,-1.5859811,-2.166833,-13.583574,0.349827,0.47661152,9.113,-2.4454,0.7614976
20,60.645973205566406,-58.3112907409668,57.01753954446684,-0.4226445159893016,10.553137003056085,-37.39976771978141,0.0,0.0,26.80604,-53.296806,-17.010494,-61.60695,-18.206558,53.569496,15.270403,31.866997,-7.682814,0.63580745,3.983997,9.210244,0.26971778,-2.9701507,-16.433851,0.49618226,0.7710994,9.228987,-0.9057971,0.9717696
21,60.6621208190918,-58.3146858215332,57.46428771039342,-0.5578226979448517,12.514041045077006,-38.259975511041134,0.0,0.0,20.526014,-50.94262,-12.37839,-61.551197,-22.316746,55.287693,19.64001,32.19615,-7.8451233,0.66914326,5.285968,9.318093,2.3152874,-3.8638997,-19.413355,0.76271284,1.0790548,9.343,0.78863996,1.1525903
22,60.680633544921875,-58.31881332397461,57.8480777089536,-0.7568923439066774,14.616036745623497,-39.20415271051829,0.0,0.0,13.30364,-49.01939,-6.8729506,-61.523525,-26.521366,57.5298,24.041777,32.47492,-8.016749,0.68250436,6.6647315,9.4423275,4.5118384,-4.8164797,-22.598692,1.1392915,1.3969588,9.465132,2.6118407,1.2922662
23,60.70109176635742,-58.323246002197266,58.13348244462583,-1.0259592471346684,16.80567554431725,-40.21446016081515,0.0,0.0,5.3577275,-47.76064,-0.68320084,-61.52535,-30.611397,60.257607,28.244017,32.713165,-9.028336,0.7925059,8.06636,11.066032,6.1501846,-5.8061957,-25.905815,1.628066,1.7054926,9.594332,4.5119944,1.3784332
24,60.722930908203125,-58.32790756225586,58.301181087719485,-1.3651742452022826,19.023942077145463,-41.270319400415616,0.0,0.0,-2.9394255,-47.31835,5.848967,-61.555,-34.43069,63.371128,32.073906,32.92084,-10.409381,0.9803161,9.453034,13.352579,7.5342727,-6.807501,-29.242466,2.2192676,1.985512,9.727116,6.434112,1.4045975
25,60.745269775390625,-58.33269500732422,58.34836728499805,-1.7675447939080156,21.210059241400458,-42.34763039121029,0.0,0.0,-11.127777,-47.721,12.291795,-61.608658,-37.881413,66.714905,35.424484,33.105503,-11.651434,1.1716088,10.793449,15.391798,8.997136,-7.792828,-33.414482,2.9275386,2.1747465,11.455875,7.62438,1.368732
26,60.76754379272461,-58.33761215209961,58.285644140790524,-2.2191177994705535,23.304520859277556,-43.41807695901978,0.0,0.0,-18.766596,-48.864914,18.23492,-61.68091,-40.917362,70.093376,38.25114,33.27408,-12.777597,1.3597081,12.051707,17.225374,10.456019,-8.737371,-37.78391,3.7036178,2.2626004,13.796703,8.458374,1.2790774
27,60.78865432739258,-58.341957092285156,58.13390766254556,-2.698207108901102,25.25109085743947,-44.44921599307452,0.0,0.0,-25.53014,-50.545193,23.38787,-61.76638,-43.525993,73.293465,40.556393,33.435402,-13.787007,1.5347196,13.19667,18.849554,11.851787,-9.616035,-41.733803,4.482514,2.2735054,15.792344,9.303929,1.14956
28,60.80810546875,-58.345943450927734,57.91999311473158,-3.1773006885313255,26.997224045956564,-45.405632796171695,0.0,0.0,-31.240173,-52.50681,27.614193,-61.860104,-45.70959,76.12288,42.37311,33.59793,-14.673743,1.6892099,14.201876,20.258295,13.128557,-10.405725,-45.22955,5.220653,2.2184734,17.511929,10.083804,0.9963523
